id,iter,train,test
1103_1634,2500,2.897414545718072,2.5141757069730155
1105_1731,19651,2.9484348699349536,2.512895552421812
1108_1904,2839,2.2864408467392674,1.9775029289788109
1108_1905,2839,2.2864408467392674,1.9775029289788109
1108_2300,12419,2.825244602162275,2.444234509227256
1109_2245,1229,2.0593097552328525,1.9843898268967044
1109_2315,11690,2.249060168457748,2.29386423041611
1110_1512,8236,2.1996833698691933,2.213731504412305
1111_0222,4802,2.468050056893748,2.2031627158565183
1111_0218,8390,2.4820501871200813,2.183509844822424
1111_0206,7409,2.518870722902941,2.19016786567682
1111_0222(0),4802,2.468050056893748,2.203167420721857
1111_0911,4676,2.534321728255553,2.1999646824024865
1111_0910,3668,2.5842336162086346,2.212542377940101
1111_0912,3948,2.4742006302242565,2.2039077697973126
1111_0902,7820,2.4016612811572817,2.178613150053068
1111_0900,6184,2.5288754164483644,2.195489954884488
1111_0901,6605,2.4984766861761827,2.186167277499074
1111_0904,6693,2.1542533986798653,2.173668290835676
1111_0904(0),6625,2.1567632629672047,2.1754936398070788
1111_0913,5583,2.439089044470681,2.1922715195865448
1111_0903,6216,2.3304438702758388,2.174657202783618
1111_0914,2504,2.2528917420761867,2.203237078638514
1111_0924,3790,2.195211279601671,2.190667471579161
1111_0923,4441,2.350410059663876,2.1875401671916275
1111_0922,4058,2.456952239344817,2.201458817212522
1111_0921,5339,2.5001131873693754,2.1927579413203726
